state,x,y
Andhra Pradesh,-70.0, -117.0
Arunachal Pradesh,183.0, 94.0
Assam,130.0, 55.0
Bihar,26.0, 35.0
Chhattisgarh,-21.0, -26.0
Goa,-154.0, -141.0
Gujarat,-211.0, -17.0
Haryana, -98.0, 120.0
Himachal Pradesh,-70.0, 162.0
Jharkhand,28.0, 10.0
Karnataka,-126.0, -158.0
Kerala,-140.0 ,-220.0
Madhya Pradesh,-109.0, -8.0
Maharashtra,-132.0, -75.0
Manipur,187.0, 23.0
Meghalaya,126.0, 38.0
Mizoram, 171.0, -8.0
Nagaland,193.0, 44.0
Odisha,29.0, -53.0
Punjab, -142.0, 152.0
Rajasthan, -190.0, 63.0
Sikkim,97.0, 84.0
Tamil Nadu,-86.0,-220.0
Telangana,-73.0, -88.0
Tripura,126.0, 5.0
Uttar Pradesh,-47.0,60.0
Uttarakhand,-44.0,128.0
West Bengal,82.0, -12.0
Jammu and Kashmir, -104.0, 203.0
